timestamp,load_house_01_kw,load_house_02_kw,load_house_03_kw,gen_pv_01_kw,gen_pv_02_kw
2026-01-01 00:00,0.7,0.5,0.4,0.0,0.0
2026-01-01 00:15,0.6,0.5,0.4,0.0,0.0
2026-01-01 00:30,0.6,0.4,0.4,0.0,0.0
2026-01-01 00:45,0.5,0.4,0.3,0.0,0.0
2026-01-01 01:00,0.5,0.4,0.3,0.0,0.0
2026-01-01 01:15,0.5,0.4,0.3,0.0,0.0
2026-01-01 01:30,0.5,0.3,0.3,0.0,0.0
2026-01-01 01:45,0.5,0.3,0.3,0.0,0.0
2026-01-01 02:00,0.5,0.3,0.3,0.0,0.0
2026-01-01 02:15,0.5,0.3,0.3,0.0,0.0
2026-01-01 02:30,0.5,0.3,0.3,0.0,0.0
2026-01-01 02:45,0.5,0.3,0.3,0.0,0.0
2026-01-01 03:00,0.5,0.3,0.3,0.0,0.0
2026-01-01 03:15,0.5,0.3,0.3,0.0,0.0
2026-01-01 03:30,0.5,0.3,0.3,0.0,0.0
2026-01-01 03:45,0.5,0.3,0.3,0.0,0.0
2026-01-01 04:00,0.6,0.4,0.3,0.0,0.0
2026-01-01 04:15,0.6,0.4,0.3,0.0,0.0
2026-01-01 04:30,0.7,0.5,0.4,0.0,0.0
2026-01-01 04:45,0.8,0.6,0.4,0.0,0.0
2026-01-01 05:00,1.0,0.7,0.5,0.0,0.0
2026-01-01 05:15,1.2,0.8,0.6,0.0,0.0
2026-01-01 05:30,1.4,1.0,0.7,0.0,0.0
2026-01-01 05:45,1.6,1.1,0.8,0.0,0.0
2026-01-01 06:00,1.8,1.2,0.9,0.0,0.0
2026-01-01 06:15,2.0,1.4,1.0,0.2,0.1
2026-01-01 06:30,2.2,1.5,1.1,0.4,0.2
2026-01-01 06:45,2.4,1.6,1.2,0.7,0.3
2026-01-01 07:00,2.2,1.5,1.1,1.0,0.5
2026-01-01 07:15,2.0,1.4,1.0,1.4,0.7
2026-01-01 07:30,1.8,1.3,0.9,1.8,0.9
2026-01-01 07:45,1.6,1.2,0.8,2.2,1.1
2026-01-01 08:00,1.4,1.1,0.8,2.7,1.3
2026-01-01 08:15,1.3,1.0,0.7,3.1,1.5
